product_id,product_name,category,surface_description,hidden_environmental_cost,carbon_score_1_10,water_score_1_10,waste_score_1_10,pollution_score_1_10,overall_hidden_cost_score,risk_level,key_hidden_impacts,eco_friendly_alternative,small_user_action,data_note,source_name,source_url
plastic_water_bottle,Plastic Water Bottle,Drink packaging,"Cheap, convenient bottled water.","Requires plastic production from fossil fuels, transportation, and often becomes landfill or litter if not recycled.",6,3,9,8,6.5,Medium,PET plastic; fossil fuel use; single-use waste; ocean/landfill pollution,Reusable water bottle,Carry a refillable bottle and use water fountains when possible.,EPA reported PET bottles and jars had a 29.1% recycling rate in 2018.,US EPA Plastics: Material-Specific Data,https://www.epa.gov/facts-and-figures-about-materials-waste-and-recycling/plastics-material-specific-data
plastic_bag,Plastic Shopping Bag,Shopping packaging,Lightweight bag used for a few minutes.,Plastic bags are made from fossil-fuel-based material and can become litter or long-lasting waste.,5,2,9,8,6,Medium,Short use life; litter risk; landfill waste; wildlife harm,Reusable tote bag,Keep one reusable bag in your backpack or car.,University of Michigan notes that most U.S. plastic waste is landfilled and only a small share is recycled.,University of Michigan CSS Plastic Waste Factsheet,https://css.umich.edu/publications/factsheets/material-resources/plastic-waste-factsheet
fast_fashion_shirt,Fast Fashion Shirt,Clothing,"A low-cost, trendy shirt.","Fast fashion can hide water use, textile waste, dye pollution, microplastic pollution, and carbon emissions.",8,9,9,8,8.5,High,Textile waste; water use; chemical dyes; microplastics; emissions,Thrifted or longer-lasting clothing,Buy fewer items and choose clothes you will wear many times.,UNEP reports the fashion/textiles sector contributes 2–8% of global greenhouse gas emissions and consumes large volumes of water.,UNEP Sustainable Fashion Technical Highlight,https://www.unep.org/technical-highlight/sustainable-fashion-take-centre-stage-zero-waste-day
takeout_container,Takeout Container,Food packaging,Convenient container for one meal.,Single-use packaging creates waste and may be difficult to recycle if contaminated with food.,5,3,8,7,5.8,Medium,Single-use waste; contamination; landfill; plastic/foam pollution,Reusable container or dine-in option,Choose restaurants that use compostable or reusable packaging when possible.,EPA municipal waste data shows packaging is a major part of municipal solid waste.,US EPA Containers and Packaging: Product-Specific Data,https://www.epa.gov/facts-and-figures-about-materials-waste-and-recycling/containers-and-packaging-product-specific
disposable_coffee_cup,Disposable Coffee Cup,Drink packaging,A convenient cup for coffee or tea.,Many disposable cups include coatings or lids that make recycling harder and add single-use waste.,4,4,7,6,5.3,Medium,Paper/plastic mix; single-use cup; plastic lid; recycling difficulty,Reusable coffee mug,Bring a reusable cup when buying drinks.,EPA packaging data can support discussion of paper/plastic container waste.,US EPA Containers and Packaging: Product-Specific Data,https://www.epa.gov/facts-and-figures-about-materials-waste-and-recycling/containers-and-packaging-product-specific
beef_burger,Beef Burger,Food,A normal fast-food or restaurant meal.,"Beef production can involve high greenhouse gas emissions, land use, water demand, and methane from cattle.",10,8,3,6,6.8,Medium,Methane emissions; land use; feed production; water use,Plant-based burger or chicken/vegetarian option,Try replacing one beef meal per week with a lower-impact meal.,"CarbonCloud benchmark reports beef hamburger footprint at store shelf; use as a general comparison, not exact local value.",CarbonCloud Hamburger Beef Benchmark,https://apps.carboncloud.com/climatehub/product-reports/id/122369844319
food_delivery_order,Food Delivery Order,Food service,Food arrives quickly at your door.,Delivery can add packaging waste and transportation emissions beyond the food itself.,7,3,7,6,5.8,Medium,Extra packaging; delivery transportation; single-use utensils; bags,"Pickup, dine-in, or group orders",Decline disposable utensils and combine orders when possible.,EPA food waste and packaging sources can support the hidden impact explanation.,US EPA Food Waste / Landfill Methane,https://www.epa.gov/land-research/quantifying-methane-emissions-landfilled-food-waste
wasted_leftovers,Wasted Leftovers,Food waste,Food that seems small enough to throw away.,Food waste in landfills produces methane as it decomposes without oxygen.,8,7,8,6,7.3,High,Methane; wasted water; wasted energy; landfill space,Meal planning and composting,"Save leftovers, plan portions, or compost food scraps.",EPA says food waste is about 24% of municipal solid waste disposed in landfills and landfills are a major methane source.,US EPA Quantifying Methane Emissions from Landfilled Food Waste,https://www.epa.gov/land-research/quantifying-methane-emissions-landfilled-food-waste
smartphone_upgrade,Smartphone Upgrade,Electronics,"A newer, faster phone.","Frequent upgrades can hide e-waste, mining impacts, manufacturing emissions, and difficult recycling.",8,5,8,8,7.3,High,E-waste; rare earth mining; battery materials; manufacturing emissions,Keep phone longer or buy refurbished,Repair your phone or trade it in through certified recycling.,UN e-waste resources describe electronics waste as a growing waste stream with recycling challenges.,Global E-waste Monitor / UNITAR,https://ewastemonitor.info/
cardboard_package,Cardboard Delivery Box,Shipping packaging,A box from online shopping.,"Cardboard is often recyclable, but unnecessary shipping and packaging still use materials and transport energy.",5,4,5,4,4.5,Medium,Packaging material; delivery emissions; tape/plastic fillers; over-packaging,Consolidated orders or local pickup,Reuse boxes and recycle clean cardboard.,"EPA reports corrugated boxes had a high recycling rate in 2018, but they still represent a major packaging category.",US EPA Containers and Packaging: Product-Specific Data,https://www.epa.gov/facts-and-figures-about-materials-waste-and-recycling/containers-and-packaging-product-specific
